Income Group,Region,1.01 Established business ownership (GEM),1.02 Total early-stage entrepreneurial activity (GEM),1.03 Political and operational stability (GII),1.04 Government effectiveness (GII),1.05 Policies for doing business (GII),1.06 Property Rights (IEF),1.07 Government Integrity (IEF),1.08 Labor Freedom (IEF),1.09 Trade freedom (IEF),1.10 Corruption Perceptions Index (TI),1.11 ICT regulatory environment (NRI),1.12 Regulation of emerging technologies (NRI),1.13 New business density (WB),1.14 Tax administration as a major constraint (WB),1.15 Tax rates as a major constraint (WB),2.01a Graduates in science & engineering (%) (GII),2.01b Researchers/Professionals engaged in R&D per million population (GII),2.01c ICT skills in the education system (NRI),2.02a GERD as a % GDP (UNESCO),2.02b GERD financed by business enterprise (NRI),2.02c GERD performed by business enterprise (NRI),2.02d R&D expenditure by governments and higher education (NRI),2.03a Mobile and internet banking transactions per 1000 adults (IMF),2.03b Robot density (NRI),2.03c Secure Internet servers (NRI),2.03d Fablabs per million population (Fablabs.io),2.04a Computer software spending (NRI),2.04b University-industry research collaborations (GII),"2.04c Trade, Diversification & Market Scale (GII)",2.05aTertiary inbound mobility (GII),2.05b QS university ranking (GII),"2.05c Research talent, % in businesses (GII)",2.05d Scientific and technical articles/bn PPP$ GDP (GII),2.05e. GitHub commit pushes received (GII),3.01a Entrepreneurship perceived capabilities (GEM),3.01b % school grads in tertiary education (GII),3.02a Ease of Access to Entrepreneurial Finance (GEM),3.02b Credit (GII),"3.02c Market capitalization, % GDP (GII)","3.02d Venture capital recipients, deals/bn PPP$ GDP (GII)","3.02e Venture capital received, value, % GDP (GII)",3.03a Bancarization (WB),3.03b Electricity access,3.03c Commercial and proffesional infrastructure (GEM),3.03d Physical infrastructure (GEM),"3.03e Electricity output, GWh/mn pop (GII)",3.03f Access to technology (NRI),"3.04a Balance of trade, % GDP (WB)",3.04b Domestic Market Scale (GII),3.05a Entrepreneurial intentions (GEM),3.05b Fear of failure (GEM),3.05c Entrepreneurship as a Good Career choice (GEM),3.05d High Status to Successful Entrepreneurs (GEM),3.05e Business Freedom (IEF),4.01 Economic Complexity Index (ECI),4.02 State of cluster development and depth (GII),4.03 Attracting and retaining talent (WTR),4.04 Foreign highly skilled personnel (WTR),5.01 Social Progress Index (SPI),5.02 Environmental performance (GII),5.03 Population below international poverty line (SDG 1 - No poverty),5.04 Prevalence of undernourishment (SDG 2 - Zero Hunger),5.05 Proportion of urban population living in slums (SDG 11 - Sustainable Cities and Communities),6.01 GDP per capita (IMF),6.02 Adjusted GDP growth per capita (SDG 8 - Decent Jobs and Economic Growth),6.03 Unemployment rate of population 15 years of age and older (SDG 8 - Decent Jobs and Economic Growth),6.04 Annual growth rate of GDP (WB),6.05 FDI inward flow as % of GDP (UNCTAD),SDG Index Score,International Spillovers Score
Upper middle income,Europe & Central Asia,,,0.6909090909,0.46778721599999995,0.3715209564,0.5589999999999999,0.355,0.49700000000000005,0.828,0.35,0.8706,0.4842,0.4892372005683346,0.4155930697467791,0.36306447989215906,0.35918320000000004,,0.39049999999999996,,,,,0.3897919338291924,,0.5415,,0.1025,0.5051863,0.6195609000000001,0.04532946919,0.0,,0.10584940570000001,0.04869111668000001,,0.37182540000000003,,0.09358434922727099,,0.07171723,0.027895970000000003,0.11111111111111112,1.0,,,0.09051033,0.5710999999999999,0.20766478006728878,0.00787909,,,,,0.6463481005769021,0.4175183771844509,0.2885376,,,0.626618544426254,0.47100000000000003,0.9993099999999999,0.9078,0.85333,0.4339432099696099,0.61914,0.59217,0.08515501123,0.5924622163032388,0.7162567254901959,0.93627
Lower middle income,Middle East & North Africa,,,0.5636363636,0.3837674493,0.4387776852,0.278,0.284,0.514,0.575,0.33,0.6235,,0.15139612165899077,,,0.6799532,,0.4053,,0.08289999999999999,0.0095,0.45840000000000003,,,0.3089,0.21846069512173977,0.006,0.37088679999999996,0.2599471,0.01420221652,0.0,,0.1453009192,0.02157049673,,0.33502499999999996,,0.09516936759875719,0.0,0.0,0.021684480000000003,0.11111111111111112,0.9966224608577408,,,0.09169508999999999,0.4595,0.5410973141397426,0.11785640000000001,,,,,0.2740829432894306,0.0017380849272826003,0.48294220000000004,,,0.4150295182814903,0.29600000000000004,0.9954500000000001,0.9409000000000001,,0.33601553668480433,0.46533,0.53874,0.035,0.04471098650378976,0.7154427563025209,0.973788
Lower middle income,Sub-Saharan Africa,,,0.6181818182,0.24248836029999998,0.3928933938,0.41100000000000003,0.22899999999999998,0.539,0.648,0.29,0.7138,0.0053,,0.39338071968014204,0.6985696098255074,,,0.0,,,,0.0062,,,0.239,,,0.1867824,0.2033905,,0.0,,0.0,0.00226066307,0.9031119634630974,,,0.09552937742007286,,,,,0.08419337547092334,,,0.02254544,0.47350000000000003,1.2303696872645986,0.04696852,1.5452656662334083,0.5969228341486509,0.6355193661971832,0.8187908032926483,0.012844236421029635,-0.009715670363132057,0.2806927,,,-0.04932529642307906,0.305,0.25854,0.59102,0.47778,0.3152161911287416,0.28076,0.6934600000000001,0.011000000000000001,-0.4392985892197331,0.5094318858543416,0.9719972727272729
Upper middle income,Latin America & Caribbean,,,0.6363636364,0.4502986995,0.1243288318,0.34600000000000003,0.428,0.551,0.612,0.38,0.6881999999999999,0.34740000000000004,0.0183548185145204,-0.26854731230564205,-0.08926832921440889,0.200466,0.1398186,0.33140000000000003,0.4551597430603287,0.32689999999999997,0.0436,0.3005,0.6307628364271598,0.0341,0.6553,0.610095770068168,0.2223,0.37986980000000004,0.5343368000000001,0.09278295146,0.431,0.13425340500000002,0.1469860707,0.07395406807999999,,0.6324272,-0.1873840445269016,0.1727302571666458,0.04217994,0.01626815,0.09226862000000001,0.5555555555555555,1.0,0.19415448851774528,0.43238731218697823,0.1550835,0.6098,0.6125697278099631,0.2343142,,,,,0.3154457385435941,0.4521975727911521,0.4035614,-0.03166138976837185,-0.18889784404593996,0.7387384035322716,0.41100000000000003,0.98994,0.9078,0.83667,0.6078908769053912,0.36741,0.60315,0.1039824946,0.11469552869491775,0.7278296802054153,0.9589436363636363
Upper middle income,Europe & Central Asia,,,0.6181818182,0.4702656128,0.5325462023,0.503,0.516,0.5870000000000001,0.736,0.49,0.8765000000000001,0.5895,0.6341720807942015,0.9175921812527765,0.7195386804463417,0.1711485,,0.5236999999999999,0.17895283413311747,0.20600000000000002,,0.15539999999999998,,,0.5088,0.7063941818391537,0.1167,0.35656140000000003,0.4839157,0.1572373561,0.0,,0.2704672644,0.07950645006,,0.323378,,0.2852928235857122,,,,0.2857142857142858,1.0,,,0.1267705,0.66,0.32618984166910164,0.0076666,,,,,0.5200827255905083,0.1723120482079516,0.4278456,,,0.6429900282780175,0.483,0.98512,0.91962,0.90889,0.419209575376612,0.6899500000000001,0.20154,0.057,0.23096874292199626,0.7105319185128599,0.959145
High income,East Asia & Pacific,,,0.8363636364,0.845758558,0.6708246867,0.907,0.8320000000000001,0.647,0.898,0.73,0.9470999999999999,0.7395,1.0059190833505502,,,0.30907830000000003,,0.7101000000000001,,,0.2409,0.7628,,0.1084,0.8451000000000001,0.5667404612636602,0.2218,0.5376121,0.730684,0.6938492599999999,0.8193333332999999,,0.7929659295,0.32194497400000005,,0.762206,,0.4910437507273272,0.40579729999999997,0.3088688,0.2021625,0.9841269841269841,1.0,,,0.50465,0.8227,0.6420220130192261,0.3194578,,,,,1.02949820398389,0.32304043006469235,0.5515171,0.8548575237460423,0.812512593189603,0.9666989135287989,0.601,0.9972500000000001,0.9409000000000001,1.0,0.9703548503340004,0.8003,0.8242499999999999,0.02236212439,0.12328259423465285,0.7558178802521011,0.6493791666666666
High income,Europe & Central Asia,0.7149211380654613,0.07222222222222219,0.8363636364,0.8534894004,0.834391435,0.97,0.809,0.7879999999999999,0.7859999999999999,0.74,0.8881999999999999,0.8053,0.24536068466311373,0.8953798311861395,1.0146034598966525,0.7135514999999999,0.6595063,0.6391,0.9867644854273883,0.6195,0.5829,0.8709,0.878276176013445,0.2918,0.8321,0.9203720664075034,0.4852,0.6243855,0.6724995,0.4706408433,0.44299999999999995,0.7679847499,0.5743390888,0.2962189756,0.32975147788607917,0.570298,0.5918367346938774,0.40349000003223506,0.10687680000000001,0.16886220000000002,0.1365345,1.0,1.0,0.8204592901878915,0.9332220367278797,0.3797144,0.6865000000000001,0.5505001876359363,0.11759639999999999,-0.008556855331048878,0.5338014833517439,-0.01808978873239427,0.6853817768946919,0.8161532600413627,0.3727009857030001,0.6691670999999999,0.8715214130978169,0.6472899455974209,0.9833184501661953,0.665,0.99518,0.9409000000000001,1.0,0.9146667291078173,0.68878,0.80669,0.04556850913,0.10336912798974622,0.8231520238970589,0.5939816666666666
Upper middle income,Europe & Central Asia,,,0.7090909091,0.46035891749999996,0.6963658332999999,0.517,0.26899999999999996,0.5579999999999999,0.6859999999999999,0.3,0.6118,,0.4523466020958931,0.9775655264326965,1.0071145061034974,0.4963048,0.1977667,0.7219,0.1836566858441718,0.3804,0.0011,0.1467,0.5357236373742591,,0.4549,,0.0599,0.5981202,0.4865237,0.062328253939999995,0.0,,0.06912143117,0.019283356590000002,,0.2155762,,0.08088712840292894,,,,,1.0,,,0.124206,0.5889,0.9503717425860446,0.03297468,,,,,0.5941003592032218,-0.03749396114732941,0.6033834,,,0.35723321922905177,0.386,1.0,0.9409000000000001,,0.4503351305337438,0.58223,0.76169,0.05600037273,-0.26634721798251215,0.7345320025464731,0.9734579999999999
High income,Middle East & North Africa,,,0.6909090909,0.5893670225000001,0.775421381,0.654,0.40399999999999997,0.536,0.8420000000000001,0.42,0.8568000000000001,0.7605,0.6539156569421222,,,0.2028847,,0.6302,,0.26890000000000003,0.0054,0.0516,,,0.4765,0.9994779169130771,0.2963,0.39027059999999997,0.5076625,0.340111168,0.1156666667,,0.08494378943999999,0.03081446282,,0.38915550000000004,,0.2700204502336408,0.2473115,0.09400956,0.07574114,,1.0,,,1.0,0.6861,0.675209931788136,0.01565677,,,,,0.5004898225753781,0.1611206453593909,0.5615162,0.5515747375437426,0.9172879306870845,0.4274321575631294,0.42,,0.9723400000000001,,0.7783383422792576,0.48807,0.9503900000000001,0.02225351242,0.38741705474124666,0.642696621721416,0.7898100000000001
Lower middle income,South Asia,,,0.5818181818,0.32733049020000005,0.463496844,0.368,0.225,0.46799999999999997,0.62,0.26,0.6138,0.2789,0.13459793510581408,1.0064415815193248,0.9487006665168877,0.05564924,,0.3373,,,,,0.12765553638867663,,0.3943,0.331920823404664,0.1539,0.2939365,0.41763449999999996,,0.08900000000000001,,0.08706469446,0.01371114153,,0.1295875,,0.3135370152182878,0.09593963999999999,0.01561567,0.01428366,0.253968253968254,0.9344736368990401,,,0.024158469999999998,0.6748999999999999,0.3780170153596272,0.212679,,,,,0.3415696092304342,0.06917992251282548,0.4305348,,,0.1538299350101701,0.231,0.9523400000000001,0.77069,0.47111000000000003,0.24045383923205438,0.8167,0.82205,0.06938675089,0.06718966340524055,0.6421788879551821,0.9791311111111112
